tx	gene
CPAR2_105660	CPAR2_105660
CPAR2_105670	CPAR2_105670
CPAR2_105680	CPAR2_105680
CPAR2_105690	CPAR2_105690
CPAR2_105700	CPAR2_105700
CPAR2_105730	CPAR2_105730
CPAR2_105760	CPAR2_105760
CPAR2_105770	CPAR2_105770
CPAR2_105780	CPAR2_105780
CPAR2_105790	CPAR2_105790
CPAR2_105800	CPAR2_105800
CPAR2_105810	CPAR2_105810
CPAR2_105820	CPAR2_105820
CPAR2_105840	CPAR2_105840
CPAR2_105850	CPAR2_105850
CPAR2_105860	CPAR2_105860
CPAR2_105870	CPAR2_105870
CPAR2_105880	CPAR2_105880
CPAR2_105890	CPAR2_105890
CPAR2_105900	CPAR2_105900
CPAR2_105910	CPAR2_105910
CPAR2_105920	CPAR2_105920
CPAR2_105930	CPAR2_105930
CPAR2_105940	CPAR2_105940
CPAR2_105950	CPAR2_105950
CPAR2_105960	CPAR2_105960
CPAR2_105970	CPAR2_105970
CPAR2_105980	CPAR2_105980
CPAR2_105990	CPAR2_105990
CPAR2_106000	CPAR2_106000
CPAR2_106010	CPAR2_106010
CPAR2_106015	CPAR2_106015
CPAR2_106020	CPAR2_106020
CPAR2_106030	CPAR2_106030
CPAR2_106040	CPAR2_106040
CPAR2_106050	CPAR2_106050
CPAR2_106060	CPAR2_106060
CPAR2_106070	CPAR2_106070
CPAR2_106080	CPAR2_106080
CPAR2_106090	CPAR2_106090
CPAR2_106100	CPAR2_106100
CPAR2_106110	CPAR2_106110
CPAR2_106120	CPAR2_106120
CPAR2_106130	CPAR2_106130
CPAR2_106140	CPAR2_106140
CPAR2_106150	CPAR2_106150
CPAR2_106160	CPAR2_106160
CPAR2_106170	CPAR2_106170
CPAR2_106180	CPAR2_106180
CPAR2_106190	CPAR2_106190
CPAR2_106200	CPAR2_106200
CPAR2_106210	CPAR2_106210
CPAR2_106220	CPAR2_106220
CPAR2_106230	CPAR2_106230
CPAR2_106240	CPAR2_106240
CPAR2_106250	CPAR2_106250
CPAR2_106260	CPAR2_106260
CPAR2_106270	CPAR2_106270
CPAR2_106280	CPAR2_106280
CPAR2_106290	CPAR2_106290
CPAR2_106300	CPAR2_106300
CPAR2_106310	CPAR2_106310
CPAR2_106330	CPAR2_106330
CPAR2_106350	CPAR2_106350
CPAR2_106360	CPAR2_106360
CPAR2_106370	CPAR2_106370
CPAR2_106380	CPAR2_106380
CPAR2_106390	CPAR2_106390
CPAR2_106400	CPAR2_106400
CPAR2_106410	CPAR2_106410
CPAR2_106420	CPAR2_106420
CPAR2_106430	CPAR2_106430
CPAR2_106440	CPAR2_106440
CPAR2_106450	CPAR2_106450
CPAR2_106460	CPAR2_106460
CPAR2_106470	CPAR2_106470
CPAR2_106480	CPAR2_106480
CPAR2_106490	CPAR2_106490
CPAR2_106500	CPAR2_106500
CPAR2_106510	CPAR2_106510
CPAR2_106520	CPAR2_106520
CPAR2_106530	CPAR2_106530
CPAR2_106540	CPAR2_106540
CPAR2_106550	CPAR2_106550
CPAR2_106560	CPAR2_106560
CPAR2_106570	CPAR2_106570
CPAR2_106580	CPAR2_106580
CPAR2_106590	CPAR2_106590
CPAR2_106600	CPAR2_106600
CPAR2_106610	CPAR2_106610
CPAR2_106620	CPAR2_106620
CPAR2_106630	CPAR2_106630
CPAR2_106640	CPAR2_106640
CPAR2_106650	CPAR2_106650
CPAR2_106660	CPAR2_106660
CPAR2_106680	CPAR2_106680
CPAR2_106690	CPAR2_106690
CPAR2_106710	CPAR2_106710
CPAR2_106720	CPAR2_106720
CPAR2_106740	CPAR2_106740
CPAR2_106750	CPAR2_106750
CPAR2_106760	CPAR2_106760
CPAR2_106770	CPAR2_106770
CPAR2_106780	CPAR2_106780
CPAR2_106790	CPAR2_106790
CPAR2_106800	CPAR2_106800
CPAR2_106810	CPAR2_106810
CPAR2_106820	CPAR2_106820
CPAR2_106830	CPAR2_106830
CPAR2_106840	CPAR2_106840
CPAR2_106850	CPAR2_106850
CPAR2_106860	CPAR2_106860
CPAR2_106870	CPAR2_106870
CPAR2_106880	CPAR2_106880
CPAR2_106890	CPAR2_106890
CPAR2_106900	CPAR2_106900
CPAR2_106940	CPAR2_106940
CPAR2_106950	CPAR2_106950
CPAR2_106960	CPAR2_106960
CPAR2_106970	CPAR2_106970
CPAR2_106980	CPAR2_106980
CPAR2_106990	CPAR2_106990
CPAR2_107000	CPAR2_107000
CPAR2_107010	CPAR2_107010
CPAR2_107020	CPAR2_107020
CPAR2_107030	CPAR2_107030
CPAR2_107040	CPAR2_107040
CPAR2_107050	CPAR2_107050
CPAR2_107060	CPAR2_107060
CPAR2_107070	CPAR2_107070
CPAR2_107080	CPAR2_107080
CPAR2_107090	CPAR2_107090
CPAR2_107100	CPAR2_107100
CPAR2_107110	CPAR2_107110
CPAR2_107120	CPAR2_107120
CPAR2_107130	CPAR2_107130
CPAR2_107140	CPAR2_107140
CPAR2_107150	CPAR2_107150
CPAR2_107160	CPAR2_107160
CPAR2_107170	CPAR2_107170
CPAR2_107180	CPAR2_107180
CPAR2_107190	CPAR2_107190
CPAR2_107200	CPAR2_107200
CPAR2_107210	CPAR2_107210
CPAR2_107220	CPAR2_107220
CPAR2_107240	CPAR2_107240
CPAR2_107250	CPAR2_107250
CPAR2_107260	CPAR2_107260
CPAR2_107270	CPAR2_107270
CPAR2_107280	CPAR2_107280
CPAR2_107290	CPAR2_107290
CPAR2_107300	CPAR2_107300
CPAR2_107310	CPAR2_107310
CPAR2_107320	CPAR2_107320
CPAR2_107330	CPAR2_107330
CPAR2_107340	CPAR2_107340
CPAR2_107350	CPAR2_107350
CPAR2_107370	CPAR2_107370
CPAR2_107390	CPAR2_107390
CPAR2_107400	CPAR2_107400
CPAR2_107410	CPAR2_107410
CPAR2_107420	CPAR2_107420
CPAR2_107430	CPAR2_107430
CPAR2_107440	CPAR2_107440
CPAR2_107450	CPAR2_107450
CPAR2_107460	CPAR2_107460
CPAR2_107470	CPAR2_107470
CPAR2_107480	CPAR2_107480
CPAR2_107490	CPAR2_107490
CPAR2_107500	CPAR2_107500
CPAR2_107510	CPAR2_107510
CPAR2_107520	CPAR2_107520
CPAR2_107540	CPAR2_107540
CPAR2_107550	CPAR2_107550
CPAR2_107560	CPAR2_107560
CPAR2_107570	CPAR2_107570
CPAR2_107600	CPAR2_107600
CPAR2_107610	CPAR2_107610
CPAR2_107620	CPAR2_107620
CPAR2_107630	CPAR2_107630
CPAR2_107640	CPAR2_107640
CPAR2_107650	CPAR2_107650
CPAR2_107660	CPAR2_107660
CPAR2_107670	CPAR2_107670
CPAR2_107680	CPAR2_107680
CPAR2_107690	CPAR2_107690
CPAR2_107700	CPAR2_107700
CPAR2_107710	CPAR2_107710
CPAR2_107720	CPAR2_107720
CPAR2_107730	CPAR2_107730
CPAR2_107740	CPAR2_107740
CPAR2_107750	CPAR2_107750
CPAR2_107760	CPAR2_107760
CPAR2_107770	CPAR2_107770
CPAR2_107780	CPAR2_107780
CPAR2_107790	CPAR2_107790
CPAR2_107800	CPAR2_107800
CPAR2_107810	CPAR2_107810
CPAR2_107820	CPAR2_107820
CPAR2_107830	CPAR2_107830
CPAR2_107840	CPAR2_107840
CPAR2_107850	CPAR2_107850
CPAR2_107860	CPAR2_107860
CPAR2_107880	CPAR2_107880
CPAR2_107890	CPAR2_107890
CPAR2_107900	CPAR2_107900
CPAR2_107910	CPAR2_107910
CPAR2_107940	CPAR2_107940
CPAR2_107950	CPAR2_107950
CPAR2_107960	CPAR2_107960
CPAR2_107970	CPAR2_107970
CPAR2_107980	CPAR2_107980
CPAR2_108000	CPAR2_108000
CPAR2_108010	CPAR2_108010
CPAR2_108020	CPAR2_108020
CPAR2_108030	CPAR2_108030
CPAR2_108040	CPAR2_108040
CPAR2_108050	CPAR2_108050
CPAR2_108060	CPAR2_108060
CPAR2_108090	CPAR2_108090
CPAR2_108100	CPAR2_108100
CPAR2_108180	CPAR2_108180
CPAR2_108190	CPAR2_108190
CPAR2_108240	CPAR2_108240
CPAR2_108260	CPAR2_108260
CPAR2_108270	CPAR2_108270
CPAR2_108280	CPAR2_108280
CPAR2_108290	CPAR2_108290
CPAR2_108300	CPAR2_108300
CPAR2_108320	CPAR2_108320
CPAR2_108350	CPAR2_108350
CPAR2_108360	CPAR2_108360
CPAR2_108370	CPAR2_108370
CPAR2_108380	CPAR2_108380
CPAR2_108390	CPAR2_108390
CPAR2_108400	CPAR2_108400
CPAR2_108410	CPAR2_108410
CPAR2_108420	CPAR2_108420
CPAR2_108430	CPAR2_108430
CPAR2_108450	CPAR2_108450
CPAR2_108460	CPAR2_108460
CPAR2_108470	CPAR2_108470
CPAR2_108480	CPAR2_108480
CPAR2_108490	CPAR2_108490
CPAR2_108500	CPAR2_108500
CPAR2_108510	CPAR2_108510
CPAR2_108520	CPAR2_108520
CPAR2_108530	CPAR2_108530
CPAR2_108540	CPAR2_108540
CPAR2_108550	CPAR2_108550
CPAR2_108570	CPAR2_108570
CPAR2_108580	CPAR2_108580
CPAR2_108590	CPAR2_108590
CPAR2_108600	CPAR2_108600
CPAR2_108610	CPAR2_108610
CPAR2_108620	CPAR2_108620
CPAR2_108630	CPAR2_108630
CPAR2_108640	CPAR2_108640
CPAR2_108650	CPAR2_108650
CPAR2_108660	CPAR2_108660
CPAR2_108670	CPAR2_108670
CPAR2_108680	CPAR2_108680
CPAR2_108690	CPAR2_108690
CPAR2_108700	CPAR2_108700
CPAR2_108710	CPAR2_108710
CPAR2_108740	CPAR2_108740
CPAR2_108750	CPAR2_108750
CPAR2_108760	CPAR2_108760
CPAR2_108770	CPAR2_108770
CPAR2_108790	CPAR2_108790
CPAR2_108800	CPAR2_108800
CPAR2_108810	CPAR2_108810
CPAR2_108820	CPAR2_108820
CPAR2_108830	CPAR2_108830
CPAR2_108840	CPAR2_108840
CPAR2_108850	CPAR2_108850
CPAR2_108860	CPAR2_108860
CPAR2_108870	CPAR2_108870
CPAR2_108880	CPAR2_108880
CPAR2_108890	CPAR2_108890
CPAR2_108900	CPAR2_108900
CPAR2_108910	CPAR2_108910
CPAR2_108920	CPAR2_108920
CPAR2_108930	CPAR2_108930
CPAR2_108940	CPAR2_108940
CPAR2_108960	CPAR2_108960
CPAR2_108970	CPAR2_108970
CPAR2_108980	CPAR2_108980
CPAR2_108990	CPAR2_108990
CPAR2_109000	CPAR2_109000
CPAR2_109010	CPAR2_109010
CPAR2_109020	CPAR2_109020
CPAR2_109030	CPAR2_109030
