baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CPAR2_100850	5166.7525917634	2.93802417397233	0.52786508621796	5.56586190426543	2.6085977472596e-08	5.66519380328769e-06
CPAR2_100870	1733.80657950428	1.28646727787907	0.998770934278978	1.28805037644371	0.197728427673665	0.576221909248252
CPAR2_100880	536.96497677729	0.912468356523804	0.723034855764327	1.26199774360701	0.206949598304647	0.582269677356686
CPAR2_100890	1031.95767425549	-0.0717385939298709	0.500012342781687	-0.143473646131958	0.88591612324365	0.967246128000444
CPAR2_100900	782.247093604909	0.886356709744573	0.561402847270287	1.57882474956141	0.114376260087485	0.455173681425853
CPAR2_100910	688.296903084206	0.0778917665173015	0.509690563706719	0.152821676647954	0.878538903032292	0.967047066886301
CPAR2_100920	1011.69718744561	0.955972434377953	0.51918942067926	1.84127872468442	0.0655807238453164	0.355673958314175
CPAR2_100960	435.134015144182	0.61414338655151	0.469995702107094	1.30670000554935	0.191314616805925	0.573181455700965
CPAR2_100970	1011.83306593094	0.278183622575272	0.568437817550804	0.489382680015671	0.624570795775502	0.876811019939055
CPAR2_100980	512.512945112395	-0.256199915716193	0.403274772367018	-0.635298643186704	0.525233658350239	0.824243728316585
CPAR2_100990	4407.67290999655	-0.0477230661157006	0.411287841892379	-0.116033252760699	0.907626187889845	0.973696128672636
CPAR2_101000	2935.36105185413	-0.647463026826324	0.388677806291371	-1.66580910035536	0.0957514429978785	0.424447120173355
CPAR2_101010	1330.11285821532	-1.23825912195961	0.502764349866547	-2.46290160049791	0.0137817733138715	0.150964819523658
CPAR2_101020	9634.562866207	-0.550181730230159	0.801150173500941	-0.68673982535125	0.492246695662986	0.808806659485729
CPAR2_101030	678.368138288084	-2.39718766001324	0.51708630942569	-4.63595267620935	3.55297253550487e-06	0.000369731204475976
CPAR2_101040	278.907063555392	-0.826346060600129	0.506294500846517	-1.63214504447212	0.102648934539823	0.43636717278844
CPAR2_101050	428.83060574864	0.041410712981378	0.51426079778737	0.0805247321194799	0.935819926714757	0.980108323144315
CPAR2_101060	2085.79412059775	-0.912185864321461	0.73535881747858	-1.24046362488614	0.214803960386575	0.590179146493308
CPAR2_101070	9850.16290592942	-0.110091790042474	0.447664891841388	-0.245924556624558	0.805740634044404	0.947395413581366
CPAR2_101080	72.9611869753625	-3.09688022371307	0.986742397854829	-3.13848906304793	0.00169821272384704	0.0409786113797873
CPAR2_101090	224.836238065266	-1.81199473272362	0.497623453276524	-3.64129688983271	0.000271268092324292	0.0120980725103557
CPAR2_101100	766.500272635194	-0.665980802528724	0.356603988560343	-1.86756408759581	0.0618228560534584	0.347362391436473
CPAR2_101110	1239.97759612133	-0.627956434373956	0.541318672397245	-1.16004946142544	0.246028668818306	0.618263380597853
CPAR2_101120	5109.68701375144	0.592656417183559	0.456932766690287	1.29703199329819	0.194620178935116	0.57510993987105
CPAR2_101130	994.923759637035	-0.318184987425244	0.364410146011895	-0.87315073662866	0.382580922328098	0.734996810395711
CPAR2_101140	908.178622311478	0.0402405806519136	0.334341202701705	0.120357827054345	0.904199697619556	0.972574302814985
CPAR2_101150	3790.77664279208	0.740713787676586	0.35459991770045	2.08887185445516	0.0367192600482374	0.262456656641136
CPAR2_101180	4864.36128759026	0.742256988229098	0.360268229910764	2.06028988016221	0.0393708367946971	0.273228789833482
CPAR2_101190	2495.26687622069	-0.484427269544606	0.305337015540085	-1.58653305983143	0.112618438833932	0.452193811877404
CPAR2_101200	698.288431499631	1.30288828102105	0.374292682203068	3.480934421032	0.000499667812744085	0.0182178155084431
CPAR2_101220	1478.7720973699	0.181685607163377	0.348436961797484	0.521430350632477	0.602067013120266	0.863851296755854
